,content
0,"안녕하세요 ~ 저는 스타트업에서 만 1년차 자바 백엔드 업무를 하고 있습니다.최근에 책 한권을 추천받게 되었는데 스터디를 진행하면 좋을 거 같아, 모집해봅니다. 읽는 것에 끝나지않고 자신의 것으로 체득하면서, 연차에 상관없이 현업에 계신 분들과 다양한 의견을 나누고 싶어요 ^^리팩토링 책과도 유사한 부분이 보이고, 효과적으로 소프트웨어를 변경하는 방법과 코드 개선에 대한 고민이 요즘 많이 들어서 책이 도움이 될 거 같습니다. 책 내부 예제 코드는 자바로 거의 이루어져 있는 듯해요. 책 목차 보시고 꾸준히 스터디 참여 가능하신 분들의 연락을 기다립니다!책 : 레거시 코드 활용 전략 (https://www.yes24.com/Product/Goods/64586851)어떻게 ? 1주간 분량을 지정하여 독서 1명씩 돌아가면서 해당 분량에 대한 발표 + 전체 스터디원간 의견 공유언제 ? 주 1회 주중 저녁 9시 이후? (협의예정) 디스코드를 통해 (캠 켜고!)기간 ? 인원 모집 후 2월부터 진행하면 어떨까해요!인원 ? 5-6명 정도 예상중입니다. + 예상 스터디 기간은 최소 2개월 정도에서 아마 10주 예상하고 있습니다.생각합니다. 관심있으신 분들은 (간단한 자기소개 + 선호 or 가능한 평일 요일과 시간)과 함께 오픈채팅으로 연락주세요 ~https://open.kakao.com/o/sKmzo6zd"
1,"2024년 신년에는 "" PT 말고 GPT 하자 ""최고의 GPT 트레이너와 함께하는 AI 교육 프로젝트! GPT 초보분들 환영합니다현직 프리랜서 개발자분을 초청하여 진행되는 강연 및 실습형 AI 교육 프로젝트입니다.왜 배워야 하는가?: 현재 및 미래 기술 시장의 필수적인 요소로 자리 잡은 AI의 깊은 이해를 돕습니다.: 개발, 글쓰기, 데이터 분석 등 다양한 분야에서 GPT의 활용 사례를 배우며 실질적인 기술 역량을 키울 수 있습니다. 누가 참여해야 할까?- AI에 관심 있는 누구나: AI의 다양한 활용에 흥미를 느끼는 누구나 환영합니다.- 초보자부터 전문가까지: 어떤 수준에서든 참여 가능하며, 서로 배우고 성장하는 공간을 제공합니다.- 미래를 함께 예측하고 싶은 분들: 빠르게 진화하는 AI의 세계에서 미래를 함께 준비하고 싶은 분들을 기다립니다. 모집 대상- 전공 무관, 대학생 및 졸업생.- 서울, 경기권으로 서울(강남)에서 오프라인 소모임에 주기적 참여가 가능하는 인원.(대학생, 직장인, 취춘생 등) - 챗GPT AI에 흥미가 있어, 체계적인 학습을 희망하는 인원. 모집 기간:- 2024.01.19~2024.01.25 활동 시간 토요일 (한 타임만 참여 가능): 15-17, 19-21 목요일: 19:30-21:00  커리큘럼- GPT 프롬프트 이해- 블로그,카페, SNS, 글 생성- GPT로 심리 상담, 윤리적인 문제 상담하기  신청 경로: http://bit.ly/48r1Lxh 준비물: 태블릿, 노트북 중 1개 필수 준비  참가비: 3만원 (대관료, 강연비 포함) 처음 GPT 이해하기부터 시작하여 재미있고 전문적인 프로그램까지 해볼 수 있는 기회 놓치지 마세요!!"
2,"스터디 강의 : 김영한의 스프링 부트와 JPA 실무 완전 정복 로드맵 스터디 목표 : 🔥스프링 부트 로드맵 같이 정복해봐요!!🔥 예상 스터디 일정(횟수) : 주 1회, 매주 토요일 오후 10시 예상 커리큘럼 간략히 :2월 한달 간, 우아한형제들 최연소 기술이사 출신 김영한의 스프링 완전 정복 강의 완주하려고 합니다!매일 3~4시간씩 강의를 듣고, 강의 진도율 인증 + 모르는 내용 or 질문(최소 2개)를 인증합니다. (금, 일요일은 제외)매주 토요일 오후 10시, 질문 or 몰랐던 내용에 대한 질문 리스트를 모아 서로 지목, 답변하는 형식으로 진행할 예정입니다.노션 예시 : https://north-sunshine-410.notion.site/Spring-919ec2ed3c4c406f8a06b5c7778cd1b9예상 모집인원 : 7~8명, 탈주하시는 분들이 계실까봐 여유있게 모집하겠습니다. 스터디 소개와 개설 이유 :스터디를 고민하다가 그냥 제가 만들었습니다!김영한 선생님⭐자바 강의를 1바퀴 완주했고, 독학으로 백엔드 취준까지 할 예정입니다.2월 이후, 김영한의 스프링 부트와 JPA 실무 완전 정복 로드맵을 야생형으로 같이 하실 분이면 더 좋을 것 같아요!😀스터디 하면서, 사이드 or 토이 프로젝트까지 할 수 있었으면 좋겠네요!열정 넘치고, 책임감 있게 참여하실 분만 참여 부탁드립니다! 스터디 관련 주의사항 :탈주 방지를 위해 보증금 20,000원을 받은 뒤, 스터디 완주 후 다시 돌려드립니다!지각, 불참, 인증 미제출 시에 보증금이 차감됩니다🥲.남은 보증금이 10,000원 이하인 경우, 보증금 10,000원을 돌려드리고 방출됩니다🥲🥲.  스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) :끝까지 같이 완주 해봐요 여러분💥💥!!https://docs.google.com/forms/d/11YgdPwhQPUopeHSi8gZx7fvDqHI6LJIcrSLikrN2olQ/edit"
3,"한 걸음 더, 미라클 모닝 스터디 WAIM에서 1.29~2.24 간 진행하는 14기 멤버를 구해요! WAIM은 자신의 라이프 스타일에 맞춰 오전 4시~8시 사이 고정 기상 시간을 정하고'타임스탬프'를 이용해 1차 기상 인증, 2차 루틴 인증을 하는 미라클 모닝 스터디입니다!'한 걸음 더' 라는 슬로건으로 가지고 힘들더라도 함께 해나가며 개개인의 성장을 돕고 더 나아가 성장에 대한 지속적인 태도를 만들어 드리기 위해 노력하고 있습니다!누적 200여 분이 참여해주신 미라클 모닝 커뮤니티인 만큼여러분들을 위해 전심전력 서포트하겠습니다 :)📕신청 기간 : 1월 20일 ~ 1월 28일 23:59 까지 📬오픈카톡방 링크 발송 : 1월 27~28일, 2일 간 (상황에 따라 일정이 변경될 수 있습니다.)📕중간 참여 신청 : 1.29~2.10 23:59 까지⭐️ 100% 출석 시, 스타벅스 E-Gift 20,000원을 드려요!⭐️홈페이지 및 신청https://waim.oopy.io/인스타그램https://www.instagram.com/weareinmorning/문의 채널http://pf.kakao.com/_zfAWxj"
4,"[개발 스터디 모집 내용 예시]스터디 주제 : Typescript(javascript) 스터디 스터디 목표 : 타입스크립트(자바스크립트) 기초부터 동작 원리까지 이해예상 스터디 일정(횟수) : 매주 주말 오프라인 1회예상 커리큘럼 간략히 :  매주 평일 기한내에 블로깅 공유 및 인증 : 각자 타입스크립트 주제 별로 매주 공식 문서와 참고 자료를 통해 블로깅 후 공유 및 인증매주 주말 하루 : 매주 1회 2시간 내외 오프라인 모임을 통해 돌아가면서 해당 주제에 대해 발표 및 질의와 토론예상 모집인원 : 최대 6명스터디 소개와 개설 이유 :  안녕하세요!  원래는 앱개발만 하다가 백엔드 개발에 관심이 생겨 하던중에, 스터디를 병행하면 같이 모여 빠른 습득과 지식 공유가 활발히 될것 같아 모집하였습니다.Typsscript와 node.js, nest.js를 하는 백엔드나 풀스택 개발자를 목표로 하고 있습니다.다만, 프론트엔드 개발자를 지망하시는 분도 타입스크립트 스터디에 참여하시는건 환영합니다.스터디 관련 주의사항 : 열심히 끝까지 하실 분만스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) 구글 폼으로 지원해주세요!https://forms.gle/3ekLZ66FsJ9JUZx57"
5,"스터디 주제 : 상반기 IT 기업 코딩테스트 대비스터디 목표1일 1알고리즘의 강제성 부여꾸준함진행 방식현재 개설된 디스코드 채널에서 월요일부터 목요일까지 20시에 모여서 한명씩 발표현재까지 최대 40분 안에 끝났습니다.1문제를 미리 풀고, 풀이 방법을 스터디원에게 설명누군가 질문할 경우, 대답할 수 있을 정도로 준비PPT나 기타 그림 자료 없이 코드만으로 설명 가능만약 AC를 받지 못했어도, 어떤 부분이 막히는지 설명하는 것으로 대체 가능맞왜틀 경험도 공유해주시면 너무 좋습니다! 금요일은 모이지 않음.규칙매월 휴가 5일 부여월~목에 진행하는 스터디에 빠질 수 있음.휴가 사용없이 불참하는 경우 바로 강퇴취업으로 인한 불참 사유는 미리 말해주면 예외처리'내일 면접으로 인해 오늘 불참'과 같은 사유기타 사적인 사유는 휴가 사용해야 함.야근, 중간/기말 고사 등등알고리즘 관련 외에 훈수 사절'코드를 이런식으로 작성하면 안되요''저희 회사에서는 이렇게 안하거든요'   지원방법 및 양식 : 이메일(lupin.devv@gmail.com)언어 : C/C++, Java, Python 중 하나, 그 외 사절 (필수)나는 문제를 좀 풀어봤다라고 할 수 있는 증빙 아무거나 (필수)백준, 프로그래머스 등 프로필문제 풀이 수 보이게 알고리즘과 관련된 공부 흔적들블로그, 깃허브 등등 드리고 싶은 말알고리즘 문제 매일 하나씩 풀기 진짜 어렵습니다.현재 1개월 정도 7명의 스터디원과 함께 했습니다.(현재 3명)의지만 있으신 분들 말고, 정말 꾸준히 하실 분들만 신청 부탁드립니다.추가로 3명 더 모집할 예정입니다.20시 시작 시간은 기존 인원들과 합의한 시간으로 변경이 어렵습니다.가끔 댓글로 문의주시는 분들이 계시는데 댓글 잘 안보니까 이메일로 문의 부탁드립니다."
6,"회사 밖에서도 성장하고 싶은 현직 웹 개발자들을 위한 스터디를 모집하고 있습니다! 언어/방법론 투트랙으로 스터디 운영 예정입니다! 📌 참여 혜택50만 원 상당 문법 강의 제공 (TypeScript, Java, Kotlin 중 택 1)TDD 기초 학습자료 제공시니어 개발자 특강 초대권미니 네트워킹 파티 초대권현직자 오픈채팅방 초대 📌 참여 일정스터디 기간 : 2/3 (토) ~ 3/2 (토), 주 1회 (상세일정 팀 내 논의)  📌 참여 방식신청서를 제출하면, 참여 확정 여부를 문자로 별도 안내해드려요.(최소한의 운영비 결제 필요) 📌 참여 신청 링크https://bit.ly/3vJZVJx 개발 실력을 키우고, 좋은 자극을 주는 동료까지 얻어갈 분들의 많은 신청 바랍니다💪"
7,"스터디 주제 : 기술면접 스터디스터디 목표 : 기술면접 역량상승예상 스터디 일정(횟수) : 주 2~3회예상 커리큘럼 간략히 : Front-End, Back-End, 네트워크, OS, DB 등예상 모집인원 : 4~5명스터디 소개와 개설 이유 : 기술면접은 스스로 공부하는것도 중요하지만 PT 경험도 중요하다고 생각합니다. 개념을 아는것과 그것을 남들에게 설명할 줄 아는건 다르니까요. 더불어 서로 정보를 공유하고 격려하며 취준할 수 있는 스터디를 지향합니다.스터디 관련 주의사항 : 면접 준비를 겸하는만큼 최소 주 1회의 오프라인 모임이 필수입니다.스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : https://open.kakao.com/o/gkeUnx5f참여코드 : study185"
8,"[개발 스터디 모집 내용 예시]스터디 주제 : 디스코드로 모여서 캠 켜놓고 각자 코딩하기스터디 목표 : 오전 ~ 오후 시간을 활용하고 각자 독려하기 위해 모집예상 스터디 일정(횟수) : 평일 오전 9시 30분에 출석해서 각자 공부할 것 말하고 10시부터 시작해봐요 예상 커리큘럼 간략히 : 없습니다 각자 공부(강의, 독서 등등) 할 거 하면서 교류해요예상 모집인원 : 4-5명스터디 소개와 개설 이유 : 스터디 관련 주의사항 : 캠(손, 키보드 등등 얼굴 X) 혹은 화면공유 필수입니다스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) 가끔 스몰톡도 나눌 수 있는 스터디가 됐으면 좋겠습니다공부는 자율적으로 독려는 함께가 모토입니다오픈카톡으로 연락주세요https://open.kakao.com/o/gbfBsv5f"
9,"안녕하세요.보유지식 : C#, JAVA, Kotlin, WPF, REST API 등맞춤형 과외를 진행해드리고 있습니다.입문자 효율적으로 개발공부 하고싶으신 분취업준비 : 코딩테스트, 기초사전지식, 이력서 작성 등포트폴리오 : 회사가 원하는 or 준비해야하는 준비물 등실무자회사업무를 진행하다 사수가 없어서 막힌부분을 해결하고 싶으신 분신속한 소스분석 / 정확한 구글링 방법등미래의 대한 준비 : 연차수에 맞는 개발능력이 맞는지, 물경력 타파이직준비 : 이력서 작성 및 준비사항 등 지원방법이름 / 나이 / 연락처 / 사는곳 / 직업 / 신청이유메일로 연락주세요.tutorings90@gmail.com"
